Customer Branch Name [634],Registered Name [635],TIN [636],Contact Number [637],Delivery Address [638],Business Type [639],Business Style [640],Contact Person [641],Destination [642],Registered Address [643],Agent [733]
MANG KANOR,MANG KANOR VULCANIZING,,,"DIVERSION RD., BULUA CDO",,,,,,
MANOLITO GARCES,GEMANUEL TRANSPORT,,,"PANGANTUCAN, BUKIDNON",,,,,,
MELJAYE EQUIPMENT,MELJAYE EQUIPMENT RENTAL & TRUCKING SER,,,"VALENCIA, BUKIDNON",,,,,,
MICRO VARS SALES,MICRO VARS SALES & ENG'G SERVICES,,,"CANITOAN, CDO",,,,,,
MILEAGE TIRE,MILEAGE TIRE AND SERVICE CENTER,,,"Mati City, Davao Oriental",,,,,,
MORTAR MASTER,MORTAR MASTER & CONCRETE BUILDERS,,,"CANITOAN,CDO",,,,,,
NATS PERFORMANCE,NATS PERFORMANCE,,,R. CASTILLO DAVAO CITY,,,,,,
NBT BATTERY,NBT BATTERY & RADIATOR SHOP,,,KIDAPAWAN CITY,,,,,,
ON THE LEVEL TRADING,ON THE LEVEL TRADING,,,Surallah South Cotab,,,,,,
ONE WAY MOTOR PARTS,ONE WAY MOTOR PARTS,,,"DON CARLOS, BUKIDNON",,,,,,
OSIRIS TIRES TRADING,OSIRIS TIRES TRADING & SERVICE CENTER,,,General Santos City,,,,,,
OTOTRAK TIRES CORP.,OTOTRAK TIRES CORP.,,,"DACUDAO, DAVAO CITY",,,,,,
PHX TRADING,PHX TRADING,,,DAVAO CITY,,,,,,
R&K GENERAL MDSE.,R&K GENERAL MDSE.,,,"CONSOLACION, CDO",,,,,,
RADIKAS MOTORS PARTS,RADIKAS MOTORS PARTS,,,"PUERTO, CDO",,,,,,
RAMJ MOTORS,RAMJ MOTORS,,,"PANGANTUCAN, BUKIDNON",,,,,,
RC JHEFT TRUCKING,RC JHEFT TRUCKING,,,20-A DAHLIA ST. CARMEN,,,,,,
RJV SANTOS,RJV SANTOS,,,"TAGOLOAN, MIS. OR.",,,,,,
RJY QUARRY,RJY QUARRY,,,"SAN FERNANDO, BUKIDNON",,,,,,
RME HARDWARE,RME HARDWARE,,,BALINGASAG MIS.OR.,,,,,,
RMG ENTERPRISE,RMG ENTERPRISES,,,"DANCAGAN, BUKIDNON",,,,,,
RMG GENERAL,RMG GENERAL MERCHANDISE,,,"DANCAGAN, BUKIDNON",,,,,,
ROCKSTAR 380,ROCKSTAR 380,,,CORONADAL CITY,,,,,,
ROCKSTAR ONE EIGHT,ROCKSTAR ONE EIGHT THREE CAR & MOTOR,,,"Koronadal City, Sout",,,,,,
ROLANDO PAÑEGA,ROLANDO PAÑEGA,,,"BRGY. MARAYMOTIGA, DON CARLOS",,,,,,
RPS MARKETING,RPS MARKETING,,,"MALAYBALAY, BUKIDNON",,,,,,
RUNSTOP CAR,RUNSTOP CAR ACCESSORIES,,,DAVAO CITY,,,,,,
SCORPION ELECTRICAL,SCORPION ELECTRICAL & BATTERY CENTER,,,"KABAKAN, NORTH COTABATO",,,,,,
SEFITI TRADING,SEFITI TRADING,,,GEN. SAN,,,,,,
SELL MATE CAR,SELL MATE CAR ACCESSORIES,,,"LUMBIA, CDO",,,,,,
SILVER WINGS,SILVER WINGS AUTO SUPPLY,,,"KATIPUNAN, VILLANUEVA",,,,,,
SOLAR STORE,SOLAR STORE,,,"CARMEN, CDO",,,,,,
SOUTHMIN,"SOUTHMIN CONSUMER, INC.",,,DAVAO CITY,,,,,,
SOUTHMIN CONSUMERS,"SOUTHMIN CONSUMERS, INC.",,,DR# 2 BC Bldg. Dangu,,,,,,
THREE K-M TRUCKING,THREE K-M TRUCKING SERVICES,,,"BALOY, CDO",,,,,,
TRACTION TIRE,TRACTION TIRE SUPPLY,,,"Magallanes St.,",,,,,,
TWINCIRCA MARKETING,TWINCIRCA MARKETING,,,"B.FRENCH ST. POLOMOLOK,",,,,,,
VELSAN ENTERPRISES,VELSAN ENTERPRISES,,,"MARAMAG, BUKIDNON",,,,,,
VINCENT 5,VINCENT 5 TIRE SUPPLY,,,Davao City,,,,,,
VIRGINIA POULTRY,VIRGINIA POULTRY,,,"KISOLON, BUKIDNON",,,,,,
VIRSAN AUTO PARTS,VIRSAN AUTO PARTS,,,"BALINGASAG, MIS. OR.",,,,,,
VITALIZE,VITALIZE DISTRIBUTION INC.,,,"VALENCIA, BUKIDNON",,,,,,
VRV QUARRY,VRV QUARRY & HOLLOW BLOCK DEALER,,,"VALENCIA, BUKIDNON",,,,,,
WENTYRE TIRE,WENTYRE TIRE SUPPLY,,,KIDAPAWAN CITY,,,,,,
ZAREPATH GENERAL,ZAREPATH GENERAL MERCHANDISE,,,"DON CARLOS, BUKIDNON",,,,,,
24 PLY MARKETING,24 PLY MARKETING,,,"114 Dacudau Ave., Bajada",,,,,,
3KNJ ENTERPRISES,3KNJ ENTERPRISES,,,,,,,,,
A1 TIRE & BATTERY,A1 TIRE & BATTERY CENTER,,,"MONTEVERDE ST., DAVAO CITY",,,,,,
DAVAO MOLAVE,DAVAO MOLAVE,,,"Villa Abrite St.,",,,,,,
DM MOTORS,DM MOTORS,,,"ROXAS ST., DIZON BLDG. DOOR3",,,,,,
EED ENTERPRISES,EED ENTERPRISES,,,MATINA APLAYA DAVAO CITY,,,,,,
GRAFTS MARKETING,GRAFTS MARKETING,,,"J. Catholico corner, Rivera St",,,,,,
HAROWI TRADE CORP.,HAROWI TRADE CORPORATION,,,Davao City,,,,,,
JACK & NAT'S CAR,JACK & NAT'S CAR SERVICES & PERFORMANCE,,,Davao City,,,,,,
JRJ MARKETING,JRJ MARKETING,,,"Quezon Blvd., Poblacion",,,,,,
KENNETH ONG,KENNETH ONG,,,,,,,,,
LAPENA TIRE DISTRIBU,LAPENA TIRE DISTRIBUTOR,,,"Carlos P. Garcia Highway,",,,,,,
LE TIRES,LE TIRES SALES & SERVICES,,,"Gensan Drive, Coronadal,",,,,,,
NATURE FRESH,"NATURE FRESH PINEAPPLES, INC.",,,"P2B KIUCAB, AGLAYAN MALAYBALAY",,,,,,
PARKSON GEN. MDSE,PARKSON GENERAL MERCHANDISE,,,General Santos City,,,,,,
POLINAR TIRE,POLINAR TIRE,,,General Santos City,,,,,,
RAPAL TIRE,LEMUEL A. RAPAL SECOND HAND TIRE SUPPLY,,,DAVAO CITY,,,,,,
RYAN DUMINGUEZ,RYAN DUMINGUEZ,,,"TORIL, DAVAO CITY",,,,,,
SOUTHERN SKY MARKET,SOUTHERN SKY MARKETING,,,MONTEROLA BLDG. PRK PINE TREE,,,,,,
SOUTHERN SKYE MARKET,SOUTHERN SKYE MARKETING,,,MONTEROLA BLDG. PRK PINE TREE,,,,,,
TRANSIX TRANSPORT,"TRANSIX TRANSPORT, INC.",,,Near NBI Convenience,,,,,,
